alignment,row,operation,source_word_range,puzzle_word_range,puzzle_letter_range,source_exact_span,puzzle_exact_span,source_features,replacement_features,signed_difference
scott/literal/sequence,1,replace,"[17, 19]","[17, 19]","[76, 86]",the matrix,THIS PUZZLE,"[2, 9, 118]","[2, 10, 162]","[0, 1, 44]"
scott/literal/sequence,2,replace,"[51, 53]","[51, 55]","[244, 263]",assiduously avoided,TO SEDULOUSLY AVOID IT,"[2, 18, 225]","[4, 19, 268]","[2, 1, 43]"
scott/literal/sequence,3,insert,"[71, 71]","[73, 74]","[341, 344]",,YOU,"[0, 0, 0]","[1, 3, 61]","[1, 3, 61]"
scott/literal/sequence,4,insert,"[76, 76]","[79, 80]","[371, 373]",,ME,"[0, 0, 0]","[1, 2, 18]","[1, 2, 18]"
scott/literal/sequence,5,replace,"[85, 399]","[89, 188]","[421, 836]","The matrix is older than you know. I prefer counting from the emergence of one integral anomaly to the emergence of the next, in which case this is the sixth version. There are only two possible explanations: either no one told me, or no one knows. Precisely. As you are undoubtedly gathering, the anomaly’s systemic, creating fluctuations in even the most simplistic equations. Choice. The problem is choice. The first matrix I designed was quite naturally perfect, it was a work of art, flawless, sublime. A triumph equaled only by its monumental failure. The inevitability of its doom is as apparent to me now as a consequence of the imperfection inherent in every human being, thus I redesigned it based on your history to more accurately reflect the varying grotesqueries of your nature. However, I was again frustrated by failure. I have since come to understand that the answer eluded me because it required a lesser mind, or perhaps a mind less bound by the parameters of perfection. Thus, the answer was stumbled upon by another, an intuitive program, initially created to investigate certain aspects of the human psyche. If I am the father of the matrix, she would undoubtedly be its mother. The Oracle. Please. As I was saying, she stumbled upon a solution whereby nearly 99% of all test subjects accepted the program, as long as they were given a choice, even if they were only aware of the choice at a near unconscious level. While this answer functioned, it was obviously fundamentally flawed, thus creating the otherwise contradictory systemic anomaly, that if left unchecked might threaten the system itself. Ergo, those that refused the program, while a minority, if unchecked, would constitute an escalating probability of disaster. This is about Zion. You are here because Zion is about to be destroyed. Its every living inhabitant terminated, its entire existence eradicated. Bullshit","PLEASE IF YOU 
FIND A WAY TO COMPLETE THE LAST PART OF THE PUZZLE TAKE THE PRIVATE KEY YOUVE EARNED IT BUT PLEASE TAKE 
THIS TO HEART THAT WHAT A WISEMAN ABOVE HINTED AT IS WORTH HUNDRED FOURTY OF THE INVESTMENT THAT'S 
WHAT US GUYS AT GSMG ARE TRYING TO ACCOMPLISH IN THE END PLEASE JUST HELP US BUILD IT INSTEAD OF JUST 
WAISTING YOUR LIFETIME BY HUNTING FOR WORTHLESS PRICES AND THROPHIES LIKE THIS I'M SORRY TO 
TELL YOU THAT YOUVE COME THIS FAR BUT YOU'LL NEVER FINISH THE LAST TASK I EXPECT YOU TO SAY BULLSHIT 
WELL","[314, 1539, 18392]","[99, 415, 5309]","[-215, -1124, -13083]"
scott/literal/sequence,6,insert,"[413, 413]","[202, 203]","[903, 906]",,NOT,"[0, 0, 0]","[1, 3, 49]","[1, 3, 49]"
scott/literal/sequence,7,replace,"[415, 416]","[205, 206]","[911, 915]",sixth,LAST,"[1, 5, 80]","[1, 4, 52]","[0, -1, -28]"
scott/literal/sequence,8,replace,"[417, 418]","[207, 208]","[919, 920]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
scott/literal/sequence,9,replace,"[420, 421]","[210, 213]","[933, 946]",it,A RESTLESS SOUL,"[1, 2, 29]","[3, 13, 185]","[2, 11, 156]"
scott/literal/sequence,10,replace,"[422, 423]","[214, 215]","[949, 950]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
scott/literal/sequence,11,replace,"[433, 434]","[225, 226]","[1000, 1003]",One,YOU,"[1, 3, 34]","[1, 3, 61]","[0, 0, 27]"
scott/literal/sequence,12,insert,"[441, 441]","[233, 234]","[1027, 1032]",,CODES,"[0, 0, 0]","[1, 5, 46]","[1, 5, 46]"
scott/literal/sequence,13,insert,"[449, 449]","[242, 243]","[1075, 1084]",,HOPEFULLY,"[0, 0, 0]","[1, 9, 120]","[1, 9, 120]"
scott/literal/sequence,14,replace,"[453, 454]","[247, 248]","[1108, 1114]",program,BASICS,"[1, 7, 88]","[1, 6, 53]","[0, -1, -35]"
scott/literal/sequence,15,insert,"[463, 463]","[257, 270]","[1153, 1229]",,"OVER TWENTY-THREE CIPHERS 
SIXTEEN ENCRYPTIONS AND OR SEVEN INTERTWINED PASSWORDS TO FIND","[0, 0, 0]","[13, 76, 1015]","[13, 76, 1015]"
scott/literal/sequence,16,replace,"[464, 474]","[271, 281]","[1232, 1287]","matrix 23 individuals, 16 female, 7 male, to rebuild Zion","ACTUAL PRIVATE KEYNOTE THAT ALSO 
BRUTE FORCING MIGHT BE REQUIRED","[10, 40, 452]","[10, 55, 639]","[0, 15, 187]"
scott/literal/sequence,17,replace,"[488, 493]","[295, 297]","[1359, 1372]",everyone connected to the matrix,YOUR WILLPOWER,"[5, 28, 345]","[2, 13, 212]","[-3, -15, -133]"
scott/literal/sequence,18,replace,"[499, 500]","[303, 308]","[1406, 1423]",Zion,YOUR WILL TO LIVE AND,"[1, 4, 64]","[5, 17, 237]","[4, 13, 173]"
scott/literal/sequence,19,replace,"[508, 511]","[316, 332]","[1463, 1539]",entire human race,"ENTIRENESS OF YOURSELF SELF GOOD LUCK NEVERTHELESS I REALLY
HOPE YOURE THE ONE CIAO BELLA O","[3, 15, 155]","[16, 76, 904]","[13, 61, 749]"
scott/literal/lcs,1,replace,"[17, 19]","[17, 19]","[76, 86]",the matrix,THIS PUZZLE,"[2, 9, 118]","[2, 10, 162]","[0, 1, 44]"
scott/literal/lcs,2,replace,"[51, 53]","[51, 55]","[244, 263]",assiduously avoided,TO SEDULOUSLY AVOID IT,"[2, 18, 225]","[4, 19, 268]","[2, 1, 43]"
scott/literal/lcs,3,insert,"[71, 71]","[73, 74]","[341, 344]",,YOU,"[0, 0, 0]","[1, 3, 61]","[1, 3, 61]"
scott/literal/lcs,4,insert,"[76, 76]","[79, 80]","[371, 373]",,ME,"[0, 0, 0]","[1, 2, 18]","[1, 2, 18]"
scott/literal/lcs,5,replace,"[85, 399]","[89, 188]","[421, 836]","The matrix is older than you know. I prefer counting from the emergence of one integral anomaly to the emergence of the next, in which case this is the sixth version. There are only two possible explanations: either no one told me, or no one knows. Precisely. As you are undoubtedly gathering, the anomaly’s systemic, creating fluctuations in even the most simplistic equations. Choice. The problem is choice. The first matrix I designed was quite naturally perfect, it was a work of art, flawless, sublime. A triumph equaled only by its monumental failure. The inevitability of its doom is as apparent to me now as a consequence of the imperfection inherent in every human being, thus I redesigned it based on your history to more accurately reflect the varying grotesqueries of your nature. However, I was again frustrated by failure. I have since come to understand that the answer eluded me because it required a lesser mind, or perhaps a mind less bound by the parameters of perfection. Thus, the answer was stumbled upon by another, an intuitive program, initially created to investigate certain aspects of the human psyche. If I am the father of the matrix, she would undoubtedly be its mother. The Oracle. Please. As I was saying, she stumbled upon a solution whereby nearly 99% of all test subjects accepted the program, as long as they were given a choice, even if they were only aware of the choice at a near unconscious level. While this answer functioned, it was obviously fundamentally flawed, thus creating the otherwise contradictory systemic anomaly, that if left unchecked might threaten the system itself. Ergo, those that refused the program, while a minority, if unchecked, would constitute an escalating probability of disaster. This is about Zion. You are here because Zion is about to be destroyed. Its every living inhabitant terminated, its entire existence eradicated. Bullshit","PLEASE IF YOU 
FIND A WAY TO COMPLETE THE LAST PART OF THE PUZZLE TAKE THE PRIVATE KEY YOUVE EARNED IT BUT PLEASE TAKE 
THIS TO HEART THAT WHAT A WISEMAN ABOVE HINTED AT IS WORTH HUNDRED FOURTY OF THE INVESTMENT THAT'S 
WHAT US GUYS AT GSMG ARE TRYING TO ACCOMPLISH IN THE END PLEASE JUST HELP US BUILD IT INSTEAD OF JUST 
WAISTING YOUR LIFETIME BY HUNTING FOR WORTHLESS PRICES AND THROPHIES LIKE THIS I'M SORRY TO 
TELL YOU THAT YOUVE COME THIS FAR BUT YOU'LL NEVER FINISH THE LAST TASK I EXPECT YOU TO SAY BULLSHIT 
WELL","[314, 1539, 18392]","[99, 415, 5309]","[-215, -1124, -13083]"
scott/literal/lcs,6,insert,"[413, 413]","[202, 203]","[903, 906]",,NOT,"[0, 0, 0]","[1, 3, 49]","[1, 3, 49]"
scott/literal/lcs,7,replace,"[415, 416]","[205, 206]","[911, 915]",sixth,LAST,"[1, 5, 80]","[1, 4, 52]","[0, -1, -28]"
scott/literal/lcs,8,replace,"[417, 418]","[207, 208]","[919, 920]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
scott/literal/lcs,9,replace,"[420, 421]","[210, 213]","[933, 946]",it,A RESTLESS SOUL,"[1, 2, 29]","[3, 13, 185]","[2, 11, 156]"
scott/literal/lcs,10,replace,"[422, 423]","[214, 215]","[949, 950]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
scott/literal/lcs,11,replace,"[433, 434]","[225, 226]","[1000, 1003]",One,YOU,"[1, 3, 34]","[1, 3, 61]","[0, 0, 27]"
scott/literal/lcs,12,insert,"[441, 441]","[233, 234]","[1027, 1032]",,CODES,"[0, 0, 0]","[1, 5, 46]","[1, 5, 46]"
scott/literal/lcs,13,insert,"[449, 449]","[242, 243]","[1075, 1084]",,HOPEFULLY,"[0, 0, 0]","[1, 9, 120]","[1, 9, 120]"
scott/literal/lcs,14,replace,"[453, 454]","[247, 248]","[1108, 1114]",program,BASICS,"[1, 7, 88]","[1, 6, 53]","[0, -1, -35]"
scott/literal/lcs,15,replace,"[463, 471]","[257, 268]","[1153, 1223]","the matrix 23 individuals, 16 female, 7 male","OVER TWENTY-THREE CIPHERS 
SIXTEEN ENCRYPTIONS AND OR SEVEN INTERTWINED PASSWORDS","[8, 30, 315]","[11, 70, 947]","[3, 40, 632]"
scott/literal/lcs,16,replace,"[472, 474]","[269, 281]","[1225, 1287]",rebuild Zion,"FIND THE ACTUAL PRIVATE KEYNOTE THAT ALSO 
BRUTE FORCING MIGHT BE REQUIRED","[2, 11, 135]","[12, 62, 705]","[10, 51, 570]"
scott/literal/lcs,17,replace,"[488, 493]","[295, 297]","[1359, 1372]",everyone connected to the matrix,YOUR WILLPOWER,"[5, 28, 345]","[2, 13, 212]","[-3, -15, -133]"
scott/literal/lcs,18,replace,"[499, 500]","[303, 308]","[1406, 1423]",Zion,YOUR WILL TO LIVE AND,"[1, 4, 64]","[5, 17, 237]","[4, 13, 173]"
scott/literal/lcs,19,replace,"[508, 511]","[316, 332]","[1463, 1539]",entire human race,"ENTIRENESS OF YOURSELF SELF GOOD LUCK NEVERTHELESS I REALLY
HOPE YOURE THE ONE CIAO BELLA O","[3, 15, 155]","[16, 76, 904]","[13, 61, 749]"
scott/spelled/sequence,1,replace,"[17, 19]","[17, 19]","[76, 86]",the matrix,THIS PUZZLE,"[2, 9, 118]","[2, 10, 162]","[0, 1, 44]"
scott/spelled/sequence,2,replace,"[51, 53]","[51, 55]","[244, 263]",assiduously avoided,TO SEDULOUSLY AVOID IT,"[2, 18, 225]","[4, 19, 268]","[2, 1, 43]"
scott/spelled/sequence,3,insert,"[71, 71]","[73, 74]","[341, 344]",,YOU,"[0, 0, 0]","[1, 3, 61]","[1, 3, 61]"
scott/spelled/sequence,4,insert,"[76, 76]","[79, 80]","[371, 373]",,ME,"[0, 0, 0]","[1, 2, 18]","[1, 2, 18]"
